agreement,doc_id,total_len,common_len
0.08333333333333333,1,72,6
0.11627906976744186,10,129,15
0.10344827586206896,11,116,12
0.1595744680851064,12,94,15
0.1111111111111111,13,117,13
0.13043478260869565,14,69,9
0.1276595744680851,15,141,18
0.18085106382978725,16,94,17
0.04054054054054054,17,74,3
0.12371134020618557,18,97,12
0.11235955056179775,19,89,10
0.15476190476190477,2,84,13
0.10465116279069768,20,86,9
0.07575757575757576,21,66,5
0.14864864864864866,22,74,11
0.1,23,110,11
0.08411214953271028,24,107,9
0.056179775280898875,25,89,5
0.12598425196850394,26,127,16
0.21568627450980393,27,102,22
0.16129032258064516,28,124,20
0.23728813559322035,29,118,28
0.19008264462809918,3,121,23
0.24691358024691357,30,81,20
0.09333333333333334,31,75,7
0.125,32,128,16
0.08,33,75,6
0.17307692307692307,34,104,18
0.16071428571428573,35,56,9
0.25,36,116,29
0.11842105263157894,37,76,9
0.12781954887218044,38,133,17
0.189873417721519,39,79,15
0.07092198581560284,4,141,10
0.07920792079207921,40,101,8
0.08333333333333333,41,60,5
0.10679611650485436,42,103,11
0.12345679012345678,43,162,20
0.1125,44,80,9
0.08421052631578947,45,95,8
0.12389380530973451,46,113,14
0.18823529411764706,47,85,16
0.14093959731543623,48,149,21
0.1328125,49,128,17
0.14563106796116504,5,103,15
0.09183673469387756,50,98,9
0.13043478260869565,6,92,12
0.10317460317460317,7,126,13
0.1574074074074074,8,108,17
0.09090909090909091,9,99,9
