agreement,error_type,total_len,common_len
0.21630094043887146,ArtOrDet,638,138
0.12191358024691358,Mec,648,79
0.30678466076696165,Nn,339,104
0.1724137931034483,Npos,29,5
0.03333333333333333,Others,90,3
0.08333333333333333,Pform,60,5
0.05063291139240506,Pref,237,12
0.1830708661417323,Prep,508,93
0.035211267605633804,Rloc-,284,10
0.28217821782178215,SVA,202,57
0.0,Sfrag,18,0
0.0,Smod,0,0
0.0,Spar,27,0
0.03125,Srun,32,1
0.02631578947368421,Ssub,76,2
0.048484848484848485,Trans,165,8
0.0,Um,54,0
0.11475409836065574,V0,61,7
0.10945273631840796,Vform,201,22
0.011764705882352941,Vm,85,1
0.20425531914893616,Vt,235,48
0.08333333333333333,WOadv,36,3
0.02702702702702703,WOinc,74,2
0.0,Wa,0,0
0.04331210191082802,Wci,785,34
0.18421052631578946,Wform,152,28
0.0,Wtone,24,0
